,0
0,https://stooq.com/q/g/?s=01c
1,https://stooq.com/q/g/?s=06n
2,https://stooq.com/q/g/?s=08n
3,https://stooq.com/q/g/?s=11b
4,https://stooq.com/q/g/?s=1at
5,https://stooq.com/q/g/?s=2cp
6,https://stooq.com/q/g/?s=2it
7,https://stooq.com/q/g/?s=4fm
8,https://stooq.com/q/g/?s=4mb
9,https://stooq.com/q/g/?s=4ms
10,https://stooq.com/q/g/?s=5ah
11,https://stooq.com/q/g/?s=7ft
12,https://stooq.com/q/g/?s=7lv
13,https://stooq.com/q/g/?s=aas
14,https://stooq.com/q/g/?s=aat
15,https://stooq.com/q/g/?s=abc
16,https://stooq.com/q/g/?s=abe
17,https://stooq.com/q/g/?s=abk
18,https://stooq.com/q/g/?s=abs
19,https://stooq.com/q/g/?s=aca
20,https://stooq.com/q/g/?s=acg
21,https://stooq.com/q/g/?s=ack
22,https://stooq.com/q/g/?s=acp
23,https://stooq.com/q/g/?s=acr
24,https://stooq.com/q/g/?s=act
25,https://stooq.com/q/g/?s=adv
26,https://stooq.com/q/g/?s=aed
27,https://stooq.com/q/g/?s=aer
28,https://stooq.com/q/g/?s=afc
29,https://stooq.com/q/g/?s=afh
30,https://stooq.com/q/g/?s=agl
31,https://stooq.com/q/g/?s=ago
32,https://stooq.com/q/g/?s=agp
33,https://stooq.com/q/g/?s=agt
34,https://stooq.com/q/g/?s=ain
35,https://stooq.com/q/g/?s=ait
36,https://stooq.com/q/g/?s=alc
37,https://stooq.com/q/g/?s=ald
38,https://stooq.com/q/g/?s=ali
39,https://stooq.com/q/g/?s=all
40,https://stooq.com/q/g/?s=alr
41,https://stooq.com/q/g/?s=als
42,https://stooq.com/q/g/?s=alu
43,https://stooq.com/q/g/?s=amb
44,https://stooq.com/q/g/?s=amc
45,https://stooq.com/q/g/?s=aml
46,https://stooq.com/q/g/?s=aol
47,https://stooq.com/q/g/?s=apa
48,https://stooq.com/q/g/?s=apc
49,https://stooq.com/q/g/?s=ape
50,https://stooq.com/q/g/?s=apl
51,https://stooq.com/q/g/?s=apn
52,https://stooq.com/q/g/?s=apr
53,https://stooq.com/q/g/?s=aps
54,https://stooq.com/q/g/?s=apt
55,https://stooq.com/q/g/?s=aqa
56,https://stooq.com/q/g/?s=aqt
57,https://stooq.com/q/g/?s=aqu
58,https://stooq.com/q/g/?s=ara
59,https://stooq.com/q/g/?s=arc
60,https://stooq.com/q/g/?s=are
61,https://stooq.com/q/g/?s=arg
62,https://stooq.com/q/g/?s=arh
63,https://stooq.com/q/g/?s=ari
64,https://stooq.com/q/g/?s=ark
65,https://stooq.com/q/g/?s=arr
66,https://stooq.com/q/g/?s=art
67,https://stooq.com/q/g/?s=arx
68,https://stooq.com/q/g/?s=asa
69,https://stooq.com/q/g/?s=asb
70,https://stooq.com/q/g/?s=ase
71,https://stooq.com/q/g/?s=asm
72,https://stooq.com/q/g/?s=asp
73,https://stooq.com/q/g/?s=asr
74,https://stooq.com/q/g/?s=ass
75,https://stooq.com/q/g/?s=ast
76,https://stooq.com/q/g/?s=ata
77,https://stooq.com/q/g/?s=atc
78,https://stooq.com/q/g/?s=atd
79,https://stooq.com/q/g/?s=atg
80,https://stooq.com/q/g/?s=atl
81,https://stooq.com/q/g/?s=atm
82,https://stooq.com/q/g/?s=ato
83,https://stooq.com/q/g/?s=atp
84,https://stooq.com/q/g/?s=atr
85,https://stooq.com/q/g/?s=ats
86,https://stooq.com/q/g/?s=att
87,https://stooq.com/q/g/?s=aug
88,https://stooq.com/q/g/?s=aux
89,https://stooq.com/q/g/?s=ave
90,https://stooq.com/q/g/?s=awb
91,https://stooq.com/q/g/?s=awm
92,https://stooq.com/q/g/?s=azc
93,https://stooq.com/q/g/?s=b24
94,https://stooq.com/q/g/?s=bah
95,https://stooq.com/q/g/?s=bal
96,https://stooq.com/q/g/?s=bba
97,https://stooq.com/q/g/?s=bbd
98,https://stooq.com/q/g/?s=bbt
99,https://stooq.com/q/g/?s=bci
100,https://stooq.com/q/g/?s=bcm
101,https://stooq.com/q/g/?s=bdg
102,https://stooq.com/q/g/?s=bdl
103,https://stooq.com/q/g/?s=bdx
104,https://stooq.com/q/g/?s=bdz
105,https://stooq.com/q/g/?s=bep
106,https://stooq.com/q/g/?s=ber
107,https://stooq.com/q/g/?s=bfc
108,https://stooq.com/q/g/?s=bft
109,https://stooq.com/q/g/?s=bgd
110,https://stooq.com/q/g/?s=bhw
111,https://stooq.com/q/g/?s=bhx
112,https://stooq.com/q/g/?s=bik
113,https://stooq.com/q/g/?s=bio
114,https://stooq.com/q/g/?s=bip
115,https://stooq.com/q/g/?s=bit
116,https://stooq.com/q/g/?s=bkm
117,https://stooq.com/q/g/?s=blo
118,https://stooq.com/q/g/?s=blr
119,https://stooq.com/q/g/?s=blt
120,https://stooq.com/q/g/?s=blu
121,https://stooq.com/q/g/?s=bmc
122,https://stooq.com/q/g/?s=bml
123,https://stooq.com/q/g/?s=bmx
124,https://stooq.com/q/g/?s=bnp
125,https://stooq.com/q/g/?s=boa
126,https://stooq.com/q/g/?s=bos
127,https://stooq.com/q/g/?s=bow
128,https://stooq.com/q/g/?s=bpc
129,https://stooq.com/q/g/?s=bpn
130,https://stooq.com/q/g/?s=bpx
131,https://stooq.com/q/g/?s=bra
132,https://stooq.com/q/g/?s=brg
133,https://stooq.com/q/g/?s=bro
134,https://stooq.com/q/g/?s=brs
135,https://stooq.com/q/g/?s=bru
136,https://stooq.com/q/g/?s=bsa
137,https://stooq.com/q/g/?s=bsc
138,https://stooq.com/q/g/?s=bst
139,https://stooq.com/q/g/?s=btc
140,https://stooq.com/q/g/?s=btg
141,https://stooq.com/q/g/?s=btk
142,https://stooq.com/q/g/?s=btx
143,https://stooq.com/q/g/?s=bvt
144,https://stooq.com/q/g/?s=cai
145,https://stooq.com/q/g/?s=cam
