,StockExchange,code,ISIN
3,WSE,06MAGNA,ISIN PLNFI0600010
4,WSE,08OCTAVA,ISIN PLNFI0800016
6,WSE,11BIT,ISIN PL11BTS00015
10,WSE,4FUNMEDIA,ISIN PL4FNMD00013
14,WSE,ABCDATA,ISIN PLABCDT00014
17,WSE,ABPL,ISIN PLAB00000019
18,WSE,ACAUTOGAZ,ISIN PLACSA000014
20,WSE,ACTION,ISIN PLACTIN00018
21,WSE,ADIUVO,ISIN PLADVIV00015
24,WSE,AGORA,ISIN PLAGORA00067
26,WSE,AGROTON,ISIN CY0101062111
28,WSE,AILLERON,ISIN PLWNDMB00010
29,WSE,AIRWAY,ISIN PLAIRWY00017
30,WSE,ALCHEMIA,ISIN PLGRBRN00012
31,WSE,ALIOR,ISIN PLALIOR00045
33,WSE,ALTA,ISIN PLTRNSU00013
35,WSE,ALTUSTFI,ISIN PLATTFI00018
36,WSE,ALUMETAL,ISIN PLALMTL00023
37,WSE,AMBRA,ISIN PLAMBRA00013
38,WSE,AMICA,ISIN PLAMICA00010
39,WSE,AMPLI,ISIN PLAMPLI00019
40,WSE,AMREST,ISIN ES0105375002
44,WSE,APATOR,ISIN PLAPATR00018
46,WSE,APLISENS,ISIN PLAPLS000016
48,WSE,APSENERGY,ISIN PLAPSEN00011
49,WSE,ARCHICOM,ISIN PLARHCM00016
50,WSE,ARCTIC,ISIN PLARTPR00012
51,WSE,ARCUS,ISIN PLARCUS00040
53,WSE,ARTERIA,ISIN PLARTER00016
54,WSE,ARTIFEX,ISIN PLARTFX00011
56,WSE,ASBIS,ISIN CY1000031710
57,WSE,ASMGROUP,ISIN PLASMGR00014
58,WSE,ASSECOBS,ISIN PLABS0000018
59,WSE,ASSECOPOL,ISIN PLSOFTB00016
60,WSE,ASSECOSEE,ISIN PLASSEE00014
62,WSE,ASTARTA,ISIN NL0000686509
63,WSE,ATAL,ISIN PLATAL000046
64,WSE,ATENDE,ISIN PLATMSI00016
65,WSE,ATLANTAPL,ISIN PLATLPL00018
66,WSE,ATLANTIS,ISIN EE3100143090
67,WSE,ATLASEST,ISIN GB00B0WDBP88
68,WSE,ATM,ISIN PLATMSA00013
69,WSE,ATMGRUPA,ISIN PLATM0000021
71,WSE,ATREM,ISIN PLATREM00017
72,WSE,AUGA,ISIN LT0000127466
74,WSE,AUTOPARTN,ISIN PLATPRT00018
77,WSE,AWBUD,ISIN PLINSTL00011
82,WSE,BAHOLDING,ISIN PLMRVPL00016
85,WSE,BALTONA,ISIN PLBALTN00014
90,WSE,BBIDEV,ISIN PLNFI1200018
96,WSE,BEDZIN,ISIN PLECBDZ00013
99,WSE,BENEFIT,ISIN PLBNFTS00018
100,WSE,BERLING,ISIN PLBRLNG00015
101,WSE,BEST,ISIN PLBEST000010
102,WSE,BETACOM,ISIN PLBTCOM00016
112,WSE,BIK,ISIN PLBIKPT00014
113,WSE,BIOMEDLUB,ISIN PLBMDLB00018
114,WSE,BIOTON,ISIN PLBIOTN00029
119,WSE,BNPPPL,ISIN PLBGZ0000010
120,WSE,BOGDANKA,ISIN PLLWBGD00016
122,WSE,BOOMBIT,ISIN PLBMBIT00010
123,WSE,BORYSZEW,ISIN PLBRSZW00011
124,WSE,BOS,ISIN PLBOS0000019
125,WSE,BOWIM,ISIN PLBOWM000019
126,WSE,BRASTER,ISIN PLBRSTR00014
130,WSE,BSCDRUK,ISIN PLBSCDO00017
131,WSE,BUDIMEX,ISIN PLBUDMX00013
133,WSE,BUDOPOL,ISIN PLBDPWR00014
135,WSE,BUMECH,ISIN PLBMECH00012
140,WSE,CALATRAVA,ISIN PLBRSTM00015
142,WSE,CAPITAL,ISIN PLCPTLP00015
144,WSE,CCC,ISIN PLCCC0000016
145,WSE,CCENERGY,ISIN PLKAREN00014
147,WSE,CDPROJEKT,ISIN PLOPTTC00011
149,WSE,CDRL,ISIN PLCDRL000043
151,WSE,CELTIC,ISIN PLCELPD00013
156,WSE,CEZ,ISIN CZ0005112300
157,WSE,CFI,ISIN PLINTKS00013
158,WSE,CHEMOS,ISIN PLCHMDW00010
159,WSE,CIECH,ISIN PLCIECH00018
160,WSE,CIGAMES,ISIN PLCTINT00018
162,WSE,CITYSERV,ISIN EE3100126368
164,WSE,CLNPHARMA,ISIN PLCLNPH00015
165,WSE,CNT,ISIN PLERGPL00014
166,WSE,COALENERG,ISIN LU0646112838
167,WSE,COGNOR,ISIN PLCNTSL00014
169,WSE,COMARCH,ISIN PLCOMAR00012
170,WSE,COMP,ISIN PLCMP0000017
172,WSE,COMPERIA,ISIN PLCOMPR00010
174,WSE,CORMAY,ISIN PLCMRAY00029
176,WSE,CPGROUP,ISIN PLCPPRK00037
178,WSE,CUBEITG,ISIN PLMCINT00013
179,WSE,CYFRPLSAT,ISIN PLCFRPT00013
180,WSE,CZTOREBKA,ISIN PLCRWTR00022
181,WSE,DATAWALK,ISIN PLPILAB00012
183,WSE,DEBICA,ISIN PLDEBCA00016
184,WSE,DECORA,ISIN PLDECOR00013
185,WSE,DEKPOL,ISIN PLDEKPL00032
187,WSE,DELKO,ISIN PLDELKO00019
188,WSE,DGA,ISIN PLDGA0000019
189,WSE,DINOPL,ISIN PLDINPL00011
191,WSE,DOMDEV,ISIN PLDMDVL00012
194,WSE,DREWEX,ISIN PLDREWX00012
195,WSE,DROP,ISIN PLDROP000011
197,WSE,DROZAPOL,ISIN PLDRZPL00032
205,WSE,ECHO,ISIN PLECHPS00019
206,WSE,EDINVEST,ISIN PLEDINV00014
207,WSE,EFEKT,ISIN PLEFEKT00018
213,WSE,EKOEXPORT,ISIN PLEKEP000019
214,WSE,ELBUDOWA,ISIN PLELTBD00017
217,WSE,ELEKTROTI,ISIN PLELEKT00016
218,WSE,ELEMENTAL,ISIN PLELMTL00017
219,WSE,ELKOP,ISIN PLELKOP00013
221,WSE,ELZAB,ISIN PLELZAB00010
223,WSE,EMCINSMED,ISIN PLEMCIM00017
225,WSE,ENAP,ISIN PLENAP000010
226,WSE,ENEA,ISIN PLENEA000013
227,WSE,ENELMED,ISIN PLENLMD00017
228,WSE,ENERGA,ISIN PLENERG00022
229,WSE,ENERGOINS,ISIN PLERGIN00015
233,WSE,ENTER,ISIN PLENTER00017
234,WSE,ERBUD,ISIN PLERBUD00012
235,WSE,ERG,ISIN PLERGZB00014
236,WSE,ERGIS,ISIN PLEUFLM00017
237,WSE,ESOTIQ,ISIN PLESTHN00018
239,WSE,ESSYSTEM,ISIN PLESSYS00030
240,WSE,ESTAR,ISIN HU0000089198
241,WSE,EUCO,ISIN PLERPCO00017
243,WSE,EUROCASH,ISIN PLEURCH00011
245,WSE,EUROHOLD,ISIN BG1100114062
247,WSE,EUROTEL,ISIN PLERTEL00011
248,WSE,EVEREST,ISIN PLWDMCP00013
254,WSE,FAMUR,ISIN PLFAMUR00012
257,WSE,FASING,ISIN PLFSING00010
258,WSE,FASTFIN,ISIN PLFSTFC00012
259,WSE,FEERUM,ISIN PLFEERM00018
260,WSE,FENGHUA,ISIN DE000A13SX89
261,WSE,FERRO,ISIN PLFERRO00016
262,WSE,FERRUM,ISIN PLFERUM00014
263,WSE,FMG,ISIN PLTHP0000011
264,WSE,FON,ISIN EE3100145939
265,WSE,FORTE,ISIN PLFORTE00012
